Datetime,Open,Close,High,Low,value,Volume,Datetime,extr,Разметка,neural_trends
2017-12-26,223.9,223.57,223.98,221.0,2738568877.0,12303590.0,2017-12-26,min,buy,1.0
2017-12-27,224.01,226.98,227.2,223.1,6777830976.7,30101220.0,2017-12-27,,buy,1.0
2017-12-28,226.9,224.2,227.17,223.0,5412389520.1,24078940.0,2017-12-28,,buy,1.0
2017-12-29,224.12,225.2,226.2,223.27,4258427864.1,18919860.0,2017-12-29,,buy,1.0
2018-01-03,226.88,231.9,232.7,226.35,7965492945.5,34549620.0,2018-01-03,,buy,1.0
2018-01-04,232.13,238.8,239.5,231.0,12636680510.3,53598520.0,2018-01-04,,buy,1.0
2018-01-05,238.89,238.6,239.95,236.7,7522344750.8,31579190.0,2018-01-05,,buy,1.0
2018-01-09,239.03,240.4,243.76,239.01,12838380465.3,53172330.0,2018-01-09,max,sell,0.0
2018-01-10,240.4,237.76,241.25,237.06,9385276735.3,39371720.0,2018-01-10,,sell,0.0
2018-01-11,237.76,239.0,240.88,235.21,10274507103.4,43067630.0,2018-01-11,,sell,0.0
2018-01-12,238.92,237.75,239.0,236.05,7339741596.7,30895860.0,2018-01-12,min,buy,1.0
2018-01-15,239.0,238.85,240.97,238.0,6151337444.2,25681720.0,2018-01-15,,buy,1.0
2018-01-16,239.01,239.64,240.0,236.01,6069314437.4,25475380.0,2018-01-16,,buy,1.0
2018-01-17,238.62,239.82,239.82,236.53,7276929107.2,30522070.0,2018-01-17,,buy,1.0
2018-01-18,240.5,245.5,246.69,240.0,15651374942.1,64156650.0,2018-01-18,,buy,1.0
2018-01-19,245.15,242.45,245.98,240.68,9462424478.8,38996990.0,2018-01-19,max,sell,0.0
2018-01-22,242.97,243.99,244.89,241.41,6102771561.7,25098970.0,2018-01-22,,sell,0.0
2018-01-23,244.77,244.4,246.25,241.67,10724474488.7,43978210.0,2018-01-23,,sell,0.0
2018-01-24,244.2,247.53,247.53,242.32,7647834295.8,31180190.0,2018-01-24,,sell,0.0
2018-01-25,247.9,250.64,251.65,247.58,13740592645.9,54995210.0,2018-01-25,,sell,0.0
2018-01-26,249.3,247.0,251.23,245.93,8754426151.2,35231900.0,2018-01-26,,sell,0.0
2018-01-29,247.5,250.48,250.79,246.0,12259122499.7,49186400.0,2018-01-29,,sell,0.0
2018-01-30,248.53,257.8,258.96,247.91,16754724883.5,65622240.0,2018-01-30,,sell,0.0
2018-01-31,257.5,264.5,264.79,255.7,16694138298.3,63707920.0,2018-01-31,,sell,0.0
2018-02-01,265.0,263.2,270.3,260.6,19395482749.2,73041240.0,2018-02-01,,sell,0.0
2018-02-02,263.69,257.32,264.83,256.2,16805694656.1,64657160.0,2018-02-02,,sell,0.0
2018-02-05,254.85,255.64,258.29,252.6,11768053139.0,45926950.0,2018-02-05,,sell,0.0
2018-02-06,250.0,258.94,262.55,248.1,21953001683.1,85982110.0,2018-02-06,,sell,0.0
